Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2016-01-25,22.399669647216797,29.826499938964844,36.380313873291016,96.25464630126953,45.244598388671875,0.6931995749473572,13.092000007629395
2016-01-26,22.5235652923584,30.0625,36.38874816894531,96.58206939697266,45.576576232910156,0.7000293135643005,12.904000282287598
2016-01-27,21.04361915588379,29.167499542236328,35.58489990234375,93.7145767211914,44.74663162231445,0.6917361617088318,12.538000106811523
2016-01-28,21.194538116455078,31.767499923706055,37.10830307006836,108.26042175292969,45.48047637939453,0.6841749548912048,12.646666526794434
2016-01-29,21.92662811279297,29.350000381469727,37.75545120239258,111.33628845214844,48.12752914428711,0.7144201397895813,12.74666690826416
2016-02-01,21.721649169921875,28.74049949645996,38.22259521484375,114.19386291503906,47.79555130004883,0.7146638035774231,13.129332542419434
2016-02-02,21.282394409179688,27.604999542236328,38.72543716430664,113.71761322021484,46.301692962646484,0.6844186186790466,12.185333251953125
2016-02-03,21.70362091064453,26.553499221801758,37.16185760498047,111.81256103515625,45.567848205566406,0.6878332495689392,11.565333366394043
2016-02-04,21.878013610839844,26.812999725341797,36.20228576660156,109.62968444824219,45.42806625366211,0.6880773901939392,11.688667297363281
2016-02-05,21.293691635131836,25.10650062561035,34.89955520629883,103.25967407226562,43.820613861083984,0.6446609497070312,10.84000015258789
2016-02-08,21.517908096313477,24.405000686645508,34.91938781738281,98.97331237792969,43.16538619995117,0.6151474118232727,9.866000175476074
2016-02-09,21.513378143310547,24.103500366210938,34.763675689697266,98.76493835449219,43.05181121826172,0.6217331886291504,9.883333206176758
2016-02-10,21.350311279296875,24.52400016784668,35.052791595458984,100.21358489990234,43.4274787902832,0.6202697157859802,9.57800006866455
2016-02-11,21.22121810913086,25.19099998474121,35.02849197387695,101.11649322509766,43.41000747680664,0.6170989871025085,10.031332969665527
2016-02-12,21.28689956665039,25.354000091552734,35.05476760864258,101.21570587158203,44.11764907836914,0.6275869607925415,10.06933307647705
2016-02-16,21.887069702148438,26.05500030517578,35.587867736816406,100.81884002685547,44.95353317260742,0.6583200097084045,10.344667434692383
2016-02-17,22.222261428833008,26.704999923706055,36.29848861694336,104.38086700439453,46.12378692626953,0.6746621131896973,11.245332717895508
2016-02-18,21.80100440979004,26.25,35.581424713134766,102.66433715820312,45.92140197753906,0.7327134609222412,11.118000030517578
2016-02-19,21.751178741455078,26.7450008392334,35.80952835083008,103.75579071044922,45.59584045410156,0.7424700260162354,11.10533332824707
2016-02-22,21.941423416137695,27.975000381469727,36.153690338134766,106.32561492919922,46.3261604309082,0.7688124179840088,11.849332809448242
2016-02-23,21.4454345703125,27.64699935913086,35.57051086425781,104.63883972167969,45.032711029052734,0.7707635760307312,11.814000129699707
2016-02-24,21.764772415161133,27.70199966430664,35.74952697753906,106.04778289794922,45.19110107421875,0.7761297821998596,11.933333396911621
2016-02-25,21.914247512817383,27.75749969482422,36.15716552734375,107.22853088378906,45.842227935791016,0.777837336063385,12.495332717895508
2016-02-26,21.948223114013672,27.761499404907227,35.9459114074707,107.07969665527344,45.13831329345703,0.7727150321006775,12.689332962036133
2016-02-29,21.898399353027344,27.625999450683594,35.56703567504883,106.08747863769531,44.76875686645508,0.7676964998245239,12.795332908630371
2016-03-01,22.768083572387695,28.95199966430664,36.8043098449707,108.96490478515625,46.26457595825195,0.8017241954803467,12.423333168029785
2016-03-02,22.817907333374023,29.010499954223633,36.6709098815918,109.09387969970703,46.59011459350586,0.8063751459121704,12.555999755859375
2016-03-03,22.987768173217773,28.874500274658203,36.27965545654297,108.72676849365234,46.06219482421875,0.7992759943008423,13.049332618713379
2016-03-04,23.329753875732422,28.756999969482422,36.211708068847656,107.5460433959961,45.78063201904297,0.7968281507492065,13.402667045593262
2016-03-07,23.07156753540039,28.139999389648438,35.34785079956055,104.90674591064453,44.90074920654297,0.7916873097419739,13.685999870300293
2016-03-08,22.881319046020508,28.01300048828125,35.38405227661133,105.10518646240234,45.446285247802734,0.777243971824646,13.506667137145996
2016-03-09,22.901708602905273,27.973499298095703,35.97317886352539,106.67289733886719,46.49334716796875,0.7767541408538818,13.914667129516602
